product_id,store_id,missing_start_date,missing_end_date
product_0,store_0,2024-06-12,2024-06-26
product_0,store_0,2024-07-08,2024-07-23
product_0,store_0,2024-09-06,2024-09-29
product_0,store_0,2024-11-03,2024-11-18
product_0,store_0,2024-12-02,2024-12-16
product_0,store_0,2024-12-18,2024-12-28
product_0,store_1,2024-06-17,2024-06-30
product_0,store_1,2024-07-14,2024-07-30
product_0,store_1,2024-08-19,2024-09-12
product_0,store_1,2024-10-20,2024-11-06
product_0,store_1,2024-11-23,2024-12-25
product_0,store_10,2024-06-26,2024-08-19
product_0,store_10,2024-12-01,2024-12-31
product_0,store_100,2024-06-05,2024-06-15
product_0,store_100,2024-07-10,2024-07-28
product_0,store_100,2024-10-06,2024-10-19
product_0,store_100,2024-11-07,2024-12-08
product_0,store_1000,2024-07-30,2024-08-10
product_0,store_1000,2024-09-09,2024-09-21
product_0,store_1000,2024-09-23,2024-12-22
product_0,store_1001,2024-06-01,2024-12-26
product_0,store_1002,2024-06-01,2024-06-14
product_0,store_1002,2024-07-18,2024-08-01
product_0,store_1002,2024-08-03,2024-09-18
product_0,store_1002,2024-09-20,2024-10-06
product_0,store_1002,2024-10-08,2024-12-17
product_0,store_1002,2024-12-19,2024-12-31
product_0,store_1003,2024-06-01,2024-12-29
product_0,store_1004,2024-06-01,2024-12-26
product_0,store_1005,2024-08-12,2024-08-22
product_0,store_1005,2024-09-21,2024-10-17
product_0,store_1005,2024-10-28,2024-11-07
product_0,store_1005,2024-11-14,2024-12-17
product_0,store_1006,2024-06-01,2024-06-16
product_0,store_1006,2024-07-04,2024-07-15
product_0,store_1006,2024-07-23,2024-08-03
product_0,store_1006,2024-11-04,2024-11-28
product_0,store_1006,2024-11-30,2024-12-13
product_0,store_1007,2024-06-11,2024-06-22
product_0,store_1007,2024-07-15,2024-08-03
product_0,store_1007,2024-08-11,2024-08-23
product_0,store_1007,2024-08-25,2024-09-15
product_0,store_1007,2024-09-20,2024-10-06
product_0,store_1007,2024-10-08,2024-10-18
product_0,store_1007,2024-10-30,2024-11-21
product_0,store_1007,2024-11-27,2024-12-23
product_0,store_1008,2024-06-16,2024-07-02
product_0,store_1008,2024-07-09,2024-08-14
product_0,store_1008,2024-08-16,2024-09-03
product_0,store_1008,2024-09-11,2024-10-18
product_0,store_1008,2024-10-20,2024-11-09
product_0,store_1008,2024-11-20,2024-12-14
product_0,store_1009,2024-06-01,2024-06-16
product_0,store_1009,2024-06-27,2024-07-07
product_0,store_1009,2024-07-09,2024-07-19
product_0,store_1009,2024-11-25,2024-12-09
product_0,store_101,2024-10-28,2024-11-22
product_0,store_1010,2024-06-23,2024-07-20
product_0,store_1010,2024-08-04,2024-09-01
product_0,store_1010,2024-10-24,2024-11-05
product_0,store_1010,2024-11-26,2024-12-31
product_0,store_1011,2024-06-01,2024-07-02
product_0,store_1011,2024-07-04,2024-07-23
product_0,store_1011,2024-07-25,2024-08-08
product_0,store_1011,2024-08-12,2024-09-01
product_0,store_1011,2024-10-05,2024-10-29
product_0,store_1011,2024-11-03,2024-11-14
product_0,store_1011,2024-11-16,2024-12-31
product_0,store_1012,2024-06-01,2024-12-15
product_0,store_1013,2024-06-03,2024-06-16
product_0,store_1013,2024-08-02,2024-09-02
